Date,Price,Open,High,Low,Vol.,Change %
12/07/2022,16058.3,16126.2,16158.75,16031.15,208.65B,-0.97%
11/07/2022,16216,16136.15,16248.55,16115.5,255.92B,-0.03%
8/07/2022,16220.6,16273.65,16275.5,16157.9,281.10B,0.54%
7/07/2022,16132.9,16113.75,16150.5,16045.95,264.62B,0.89%
6/07/2022,15989.8,15818.2,16011.35,15800.9,288.38B,1.13%
5/07/2022,15810.85,15909.15,16025.75,15785.45,254.16B,-0.15%
4/07/2022,15835.35,15710.5,15852.35,15661.8,304.33B,0.53%
1/07/2022,15752.05,15703.7,15793.95,15511.05,364.09B,-0.18%
30/06/2022,15780.25,15774.5,15890,15728.85,306.03B,-0.12%
29/06/2022,15799.1,15701.7,15861.6,15687.8,444.95B,-0.32%
28/06/2022,15850.2,15757.45,15892.1,15710.15,251.87B,0.11%
